Date,Department,Revenue,Expenses
2026-01-01,Sales,5725.00,2020.00
2026-01-02,Marketing,6450.00,2240.00
2026-01-03,Operations,7175.00,2460.00
2026-01-04,Customer Service,7900.00,2180.00
2026-01-05,IT,6375.00,2400.00
2026-01-06,Sales,7100.00,2620.00
2026-01-07,Marketing,7825.00,2840.00
2026-01-08,Operations,8550.00,2560.00
2026-01-09,Customer Service,9275.00,2780.00
2026-01-10,IT,7750.00,3000.00
2026-01-11,Sales,8475.00,3220.00
2026-01-12,Marketing,9200.00,2940.00
2026-01-13,Operations,9925.00,3160.00
2026-01-14,Customer Service,10650.00,3380.00
2026-01-15,IT,9125.00,3600.00
2026-01-16,Sales,9850.00,3320.00
2026-01-17,Marketing,10575.00,3540.00
2026-01-18,Operations,11300.00,3760.00
2026-01-19,Customer Service,12025.00,3980.00
2026-01-20,IT,10500.00,3700.00
2026-01-21,Sales,11225.00,3920.00
2026-01-22,Marketing,11950.00,4140.00
2026-01-23,Operations,12675.00,4360.00
2026-01-24,Customer Service,13400.00,4080.00
2026-01-25,IT,11875.00,4300.00
2026-01-26,Sales,12600.00,4520.00
2026-01-27,Marketing,13325.00,4740.00
2026-01-28,Operations,14050.00,4460.00
2026-01-29,Customer Service,14775.00,4680.00
2026-01-30,IT,13250.00,4900.00
2026-01-31,Sales,13975.00,5120.00
2026-02-01,Marketing,14700.00,4840.00
2026-02-02,Operations,15425.00,5060.00
2026-02-03,Customer Service,16150.00,5280.00
2026-02-04,IT,14625.00,5500.00
2026-02-05,Sales,15350.00,5220.00
2026-02-06,Marketing,16075.00,5440.00
2026-02-07,Operations,16800.00,5660.00
2026-02-08,Customer Service,17525.00,5880.00
2026-02-09,IT,16000.00,5600.00
2026-02-10,Sales,16725.00,5820.00
2026-02-11,Marketing,17450.00,6040.00
2026-02-12,Operations,18175.00,6260.00
2026-02-13,Customer Service,18900.00,5980.00
2026-02-14,IT,17375.00,6200.00
2026-02-15,Sales,18100.00,6420.00
2026-02-16,Marketing,18825.00,6640.00
2026-02-17,Operations,19550.00,6360.00
2026-02-18,Customer Service,20275.00,6580.00
2026-02-19,IT,18750.00,6800.00
