Invoice ID,Customer,Product,Quantity,Unit Price
INV-001,Acme Company,Laptop,2,899.99
INV-001,Acme Company,Mouse,4,25.0
INV-002,Smith Consulting,Mouse,3,25.0
INV-002,Smith Consulting,Monitor,5,250.0
INV-003,Johnson Industries,Monitor,4,250.0
INV-003,Johnson Industries,Keyboard,1,75.0
INV-004,Bright Solutions,Keyboard,5,75.0
INV-004,Bright Solutions,Office Chair,2,175.0
INV-005,Global Services,Office Chair,1,175.0
INV-005,Global Services,Desk,3,350.0
INV-006,Northstar Retail,Desk,2,350.0
INV-006,Northstar Retail,Laptop,4,899.99
INV-007,Pioneer Group,Laptop,3,899.99
INV-007,Pioneer Group,Mouse,5,25.0
INV-008,Summit Technologies,Mouse,4,25.0
INV-008,Summit Technologies,Monitor,1,250.0
INV-009,Riverstone LLC,Monitor,5,250.0
INV-009,Riverstone LLC,Keyboard,2,75.0
INV-010,Evergreen Enterprises,Keyboard,1,75.0
INV-010,Evergreen Enterprises,Office Chair,3,175.0
INV-011,Acme Company,Office Chair,2,175.0
INV-011,Acme Company,Desk,4,350.0
INV-012,Smith Consulting,Desk,3,350.0
INV-012,Smith Consulting,Laptop,5,899.99
INV-013,Johnson Industries,Laptop,4,899.99
INV-013,Johnson Industries,Mouse,1,25.0
INV-014,Bright Solutions,Mouse,5,25.0
INV-014,Bright Solutions,Monitor,2,250.0
INV-015,Global Services,Monitor,1,250.0
INV-015,Global Services,Keyboard,3,75.0
INV-016,Northstar Retail,Keyboard,2,75.0
INV-016,Northstar Retail,Office Chair,4,175.0
INV-017,Pioneer Group,Office Chair,3,175.0
INV-017,Pioneer Group,Desk,5,350.0
INV-018,Summit Technologies,Desk,4,350.0
INV-018,Summit Technologies,Laptop,1,899.99
INV-019,Riverstone LLC,Laptop,5,899.99
INV-019,Riverstone LLC,Mouse,2,25.0
INV-020,Evergreen Enterprises,Mouse,1,25.0
INV-020,Evergreen Enterprises,Monitor,3,250.0
INV-021,Acme Company,Monitor,2,250.0
INV-021,Acme Company,Keyboard,4,75.0
INV-022,Smith Consulting,Keyboard,3,75.0
INV-022,Smith Consulting,Office Chair,5,175.0
INV-023,Johnson Industries,Office Chair,4,175.0
INV-023,Johnson Industries,Desk,1,350.0
INV-024,Bright Solutions,Desk,5,350.0
INV-024,Bright Solutions,Laptop,2,899.99
INV-025,Global Services,Laptop,1,899.99
INV-025,Global Services,Mouse,3,25.0
INV-026,Northstar Retail,Mouse,2,25.0
INV-026,Northstar Retail,Monitor,4,250.0
INV-027,Pioneer Group,Monitor,3,250.0
INV-027,Pioneer Group,Keyboard,5,75.0
INV-028,Summit Technologies,Keyboard,4,75.0
INV-028,Summit Technologies,Office Chair,1,175.0
INV-029,Riverstone LLC,Office Chair,5,175.0
INV-029,Riverstone LLC,Desk,2,350.0
INV-030,Evergreen Enterprises,Desk,1,350.0
INV-030,Evergreen Enterprises,Laptop,3,899.99
INV-031,Acme Company,Laptop,2,899.99
INV-031,Acme Company,Mouse,4,25.0
INV-032,Smith Consulting,Mouse,3,25.0
INV-032,Smith Consulting,Monitor,5,250.0
INV-033,Johnson Industries,Monitor,4,250.0
INV-033,Johnson Industries,Keyboard,1,75.0
INV-034,Bright Solutions,Keyboard,5,75.0
INV-034,Bright Solutions,Office Chair,2,175.0
INV-035,Global Services,Office Chair,1,175.0
INV-035,Global Services,Desk,3,350.0
INV-036,Northstar Retail,Desk,2,350.0
INV-036,Northstar Retail,Laptop,4,899.99
INV-037,Pioneer Group,Laptop,3,899.99
INV-037,Pioneer Group,Mouse,5,25.0
INV-038,Summit Technologies,Mouse,4,25.0
INV-038,Summit Technologies,Monitor,1,250.0
INV-039,Riverstone LLC,Monitor,5,250.0
INV-039,Riverstone LLC,Keyboard,2,75.0
INV-040,Evergreen Enterprises,Keyboard,1,75.0
INV-040,Evergreen Enterprises,Office Chair,3,175.0
INV-041,Acme Company,Office Chair,2,175.0
INV-041,Acme Company,Desk,4,350.0
INV-042,Smith Consulting,Desk,3,350.0
INV-042,Smith Consulting,Laptop,5,899.99
INV-043,Johnson Industries,Laptop,4,899.99
INV-043,Johnson Industries,Mouse,1,25.0
INV-044,Bright Solutions,Mouse,5,25.0
INV-044,Bright Solutions,Monitor,2,250.0
INV-045,Global Services,Monitor,1,250.0
INV-045,Global Services,Keyboard,3,75.0
INV-046,Northstar Retail,Keyboard,2,75.0
INV-046,Northstar Retail,Office Chair,4,175.0
INV-047,Pioneer Group,Office Chair,3,175.0
INV-047,Pioneer Group,Desk,5,350.0
INV-048,Summit Technologies,Desk,4,350.0
INV-048,Summit Technologies,Laptop,1,899.99
INV-049,Riverstone LLC,Laptop,5,899.99
INV-049,Riverstone LLC,Mouse,2,25.0
INV-050,Evergreen Enterprises,Mouse,1,25.0
INV-050,Evergreen Enterprises,Monitor,3,250.0
INV-051,Missing Quantity Co.,Monitor,,250.0
INV-052,Invalid Price LLC,Desk,2,-350.0
INV-053,,Laptop,1,899.99
INV-054,Zero Quantity Inc.,Mouse,0,25.0
